title,condition,transmission,make,model,year,location,price
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2008 Black,local used,automatic,Toyota,Camry,,Onitsha,"₦ 7,500,000"
Toyota Tundra Double Cab 4x4 Limited 2011 Black,foreign used,automatic,Toyota,Tundra,,Apapa,"₦ 23,000,000"
Hyundai Sonata Limited 4dr Sedan (2.4L 4cyl 6A) 2015 White,foreign used,automatic,Hyundai,Sonata,,Magodo,"₦ 15,700,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2014 White,local used,automatic,Toyota,Corolla,,Ikoyi,"₦ 9,000,000"
Land Rover Lr3 2007 Silver,local used,automatic,Land,Rover,,Ikotun/Igando,"₦ 6,600,000"
Hyundai Accent 2008 Black,local used,manual,Hyundai,Accent,2008,Gudu,"₦ 8,859,375"
Infiniti QX56 2008 Black,local used,automatic,Infiniti,QX56,2008,Lekki,"₦ 38,500,000"
Honda Accord 2005 Gray,local used,automatic,Honda,Accord,2005,Kubwa,"₦ 3,240,000"
Honda Accord 2009 Black,local used,automatic,Honda,Accord,2009,Lugbe District,"₦ 5,500,000"
Honda Accord 2008 Gold,local used,automatic,Honda,Accord,2008,Kaduna / Kaduna State,"₦ 4,290,000"
Honda Accord 2008 Blue,foreign used,automatic,Honda,Accord,2008,Amuwo-Odofin,"₦ 12,960,000"
Honda Pilot 2003 White,local used,automatic,Honda,Pilot,2003,Ojodu,"₦ 4,368,000"
Honda CR-V 2007 Blue,local used,automatic,Honda,CR-V,2007,Amuwo-Odofin,"₦ 5,896,000"
Land Rover Range Rover Evoque Pure Plus AWD 2013 Silver,local used,automatic,Land,Rover,,Ajah,"₦ 11,900,000"
Toyota Tacoma 2013 White,local used,automatic,Toyota,Tacoma,2013,Ilorin South,"₦ 13,920,000"
Lexus RX 330 2004 Teal,foreign used,automatic,Lexus,RX,,Mabushi,"₦ 14,000,000"
Mercedes-Benz GLE-Class 2020 Black,foreign used,automatic,,,,Gwarinpa,"₦ 90,000,000"
Honda Element 2006 Gray,local used,automatic,Honda,Element,2006,Surulere,"₦ 4,070,000"
Kia Sedona 2008 Gold,local used,automatic,Kia,Sedona,2008,Garki 2,"₦ 4,950,000"
Ford F-150 2009 Red,local used,automatic,Ford,F-150,2009,Owerri,"₦ 9,900,000"
Kia Sportage 2009 Black,local used,automatic,Kia,Sportage,2009,Isolo,"₦ 5,500,000"
Ford Explorer 2009 Silver,local used,automatic,Ford,Explorer,2009,Kaduna / Kaduna State,"₦ 7,700,000"
Land Rover Range Rover Sport 2006 White,local used,automatic,Land,Rover,,Gwarinpa,"₦ 5,984,000"
Land Rover Range Rover Sport HSE 4x4 (4.4L 8cyl 6A) 2006 Black,local used,automatic,Land,Rover,,Uyo,"₦ 11,000,000"
Honda CR-V 2007 Blue,foreign used,automatic,Honda,CR-V,2007,Ikorodu,"₦ 9,900,000"
Peugeot 301 2013 White,local used,manual,Peugeot,301,2013,Ikotun/Igando,"₦ 7,150,000"
Audi A4 2009 Blue,local used,automatic,Audi,A4,2009,Isolo,"₦ 6,600,000"
Kia Forte 2010 Brown,local used,automatic,Kia,Forte,2010,Ojodu,"₦ 4,400,000"
Toyota Corolla 2002 Blue,local used,automatic,Toyota,Corolla,2002,Garki 2,"₦ 6,500,000"
Nissan X-Trail 2000 Blue,local used,automatic,Nissan,X-Trail,2000,Ilorin South,"₦ 3,900,000"
Toyota Camry 2016 Gray,local used,automatic,Toyota,Camry,2016,Ilorin South,"₦ 13,500,000"
Toyota Camry 2.4 LE 2008 Gold,local used,automatic,Toyota,Camry,,Ajah,"₦ 7,500,000"
Ford Explorer XLT 4x4 (4.6L 8cyl 6A) 2006 Red,local used,automatic,Ford,Explorer,,Ikeja,"₦ 5,500,000"
Toyota Corolla 2015 Red,foreign used,automatic,Toyota,Corolla,2015,Mabushi,"₦ 15,100,000"
Honda Odyssey 2003 Green,local used,automatic,Honda,Odyssey,2003,Lekki,"₦ 3,630,000"
Honda Accord 2003 Black,local used,automatic,Honda,Accord,2003,Ibadan,"₦ 3,240,000"
BMW X3 2010 White,local used,automatic,BMW,X3,2010,Kubwa,"₦ 5,940,000"
Toyota Sequoia Limited 4dr SUV (4.7L 8cyl 4A) 2001 Gray,local used,automatic,Toyota,Sequoia,,Ojodu,"₦ 8,800,000"
Volkswagen Golf 1.6 Variant Automatic 1999 Purple,local used,automatic,Volkswagen,Golf,,Ilorin South,"₦ 3,000,000"
Mitsubishi Outlander 2010 White,local used,automatic,Mitsubishi,Outlander,2010,Ilorin South,"₦ 9,300,000"
Peugeot 406 2.0 2008 Blue,local used,automatic,Peugeot,406,,Ilorin South,"₦ 3,500,000"
Ford Edge 2013 Red,local used,automatic,Ford,Edge,2013,Ilorin South,"₦ 5,900,000"
Toyota Camry 2011 Gray,local used,automatic,Toyota,Camry,2011,Ilorin South,"₦ 6,500,000"
Toyota Matrix 2005 White,local used,automatic,Toyota,Matrix,2005,Gwarinpa,"₦ 5,000,000"
Toyota Solara 3.3 Coupe 2008 Silver,foreign used,automatic,Toyota,Solara,,Ogba,"₦ 6,800,000"
Lexus RX 350 AWD 2012 Gray,local used,automatic,Lexus,RX,,Ikeja,"₦ 15,600,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Red,foreign used,automatic,Toyota,Camry,,Mabushi,"₦ 17,500,000"
Honda Accord Crosstour 2010 Black,local used,automatic,Honda,Accord,,Gwarinpa,"₦ 6,930,000"
Honda Accord 2009 Black,local used,automatic,Honda,Accord,2009,Port-Harcourt,"₦ 6,480,000"
Pontiac Vibe 2007 Silver,local used,automatic,Pontiac,Vibe,2007,Wuse,"₦ 4,950,000"
Toyota Avensis 2003 Gold,local used,automatic,Toyota,Avensis,2003,Ilorin South,"₦ 2,800,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Blue,foreign used,automatic,Toyota,Camry,,Central Business District,"₦ 14,700,000"
Volkswagen Passat 2009 Gray,foreign used,automatic,Volkswagen,Passat,2009,Port-Harcourt,"₦ 12,023,437"
Hyundai Elantra 2009 Gray,local used,automatic,Hyundai,Elantra,2009,Kubwa,"₦ 6,480,000"
Volkswagen Golf 1998 Silver,local used,automatic,Volkswagen,Golf,1998,Enugu,"₦ 1,870,000"
Honda Pilot 2006 Blue,local used,automatic,Honda,Pilot,2006,Gudu,"₦ 4,400,000"
Honda Pilot 2007 Silver,local used,automatic,Honda,Pilot,2007,Port-Harcourt,"₦ 3,850,000"
Honda Accord 3.5 EX Automatic 2010 Gray,local used,automatic,Honda,Accord,,Akure,"₦ 4,840,000"
BMW 328i 2012 White,local used,automatic,BMW,328i,2012,Lugbe District,"₦ 10,340,000"
Hyundai Veracruz 2008 Blue,foreign used,automatic,Hyundai,Veracruz,2008,Abule Egba,"₦ 11,600,000"
Toyota Matrix 2004 Red,local used,automatic,Toyota,Matrix,2004,Ilorin South,"₦ 5,000,000"
Toyota Camry 2007 Red,local used,automatic,Toyota,Camry,2007,Ilorin South,"₦ 5,500,000"
Toyota Camry 2018 Red,local used,automatic,Toyota,Camry,2018,Ilorin South,"₦ 19,900,000"
Lexus GS 350 2007 Silver,local used,automatic,Lexus,GS,,Ilorin South,"₦ 7,300,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2012 White,foreign used,automatic,,,,Ikeja,"₦ 15,000,000"
Lexus ES 350 FWD 2013,foreign used,automatic,Lexus,ES,,Mabushi,"₦ 23,500,000"
Lexus ES 350 2011 Red,local used,automatic,Lexus,ES,,Ajah,"₦ 11,500,000"
Infiniti G 2009 Blue,local used,automatic,Infiniti,G,2009,Port-Harcourt,"₦ 6,600,000"
Honda Accord 2006 Gray,local used,automatic,Honda,Accord,2006,Lugbe District,"₦ 4,320,000"
Kia Mohave 2014 Black,local used,automatic,Kia,Mohave,2014,Magodo,"₦ 17,930,000"
Mercedes-Benz C180 1999 Gray,local used,automatic,,,,Asokoro,"₦ 4,400,000"
Audi A5 2011 Gray,local used,manual,Audi,A5,2011,Lekki,"₦ 9,900,000"
Pontiac Vibe Automatic 2003 Gray,local used,automatic,Pontiac,Vibe,,Ilorin South,"₦ 4,300,000"
Mercedes-Benz E350 2011 Black,local used,automatic,,,,Ilorin South,"₦ 13,900,000"
Ford Edge 2013 White,local used,automatic,Ford,Edge,2013,Ilorin South,"₦ 8,500,000"
Toyota Camry 2008 Black,local used,automatic,Toyota,Camry,2008,Ilorin South,"₦ 5,300,000"
Mazda CX-9 Touring AWD 2009 Blue,local used,automatic,Mazda,CX-9,,Ogba,"₦ 6,800,000"
Lexus IS 250 2008 Gray,foreign used,automatic,Lexus,IS,,Ikeja,"₦ 9,800,000"
Mercedes-Benz GLK-Class 350 SUV 2013 Gray,foreign used,automatic,,,,Mabushi,"₦ 22,000,000"
Honda Pilot 2007 Silver,local used,automatic,Honda,Pilot,2007,Lekki,"₦ 3,850,000"
Audi TT 2011 Gray,local used,automatic,Audi,TT,2011,Jabi,"₦ 17,600,000"
Honda CR-V 2003 Blue,local used,automatic,Honda,CR-V,2003,Alimosho,"₦ 3,410,000"
Honda Accord 2003 Gray,local used,automatic,Honda,Accord,2003,Alimosho,"₦ 3,456,000"
Infiniti G35 2007 Gray,local used,automatic,Infiniti,G35,2007,Ibadan,"₦ 7,700,000"
Ford F-150 Regular Cab 2009 Gray,local used,automatic,Ford,F-150,,Amuwo-Odofin,"₦ 25,300,000"
Honda Civic 2009 Gray,local used,manual,Honda,Civic,2009,Asokoro,"₦ 5,500,000"
Jeep Liberty 3.7 2003 Silver,local used,automatic,Jeep,Liberty,,Lugbe District,"₦ 4,950,000"
Toyota Avalon 2014 Green,foreign used,automatic,Toyota,Avalon,2014,Jabi,"₦ 15,400,000"
Toyota Sienna 2004 Red,local used,automatic,Toyota,Sienna,2004,Ilorin South,"₦ 6,400,000"
Honda Accord 1999 Green,local used,automatic,Honda,Accord,1999,Ilorin South,"₦ 2,300,000"
Toyota Camry Hybrid 2009 Gray,local used,automatic,Toyota,Camry,,Ilorin South,"₦ 9,200,000"
Ford F-150 2004 Gray,local used,automatic,Ford,F-150,2004,Ilorin South,"₦ 4,000,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2010 White,foreign used,automatic,Toyota,Corolla,,Jabi,"₦ 12,000,000"
Toyota Camry XSE 4dr Sedan (2.5L 4cyl 6A) 2015 Burgundy,foreign used,automatic,Toyota,Camry,,Katampe,"₦ 19,700,000"
Lexus RX 2004 Green,local used,automatic,Lexus,RX,2004,Ogba,"₦ 8,900,000"
Mercedes-Benz C230 2003 Blue,local used,automatic,,,,Jabi,"₦ 4,015,000"
Hyundai Accent 2009 Black,local used,automatic,Hyundai,Accent,2009,Isolo,"₦ 3,685,000"
Toyota Sienna 1999 White,foreign used,automatic,Toyota,Sienna,1999,Ilupeju,"₦ 9,350,000"
Land Rover Range Rover Sport HSE 4x4 (4.4L 8cyl 6A) 2006 White,local used,automatic,Land,Rover,,Owerri,"₦ 7,700,000"
Mazda 3 2008 Gray,foreign used,automatic,Mazda,3,2008,Yaba,"₦ 7,150,000"
Honda Accord 2.0 Comfort 2008 Gold,local used,automatic,Honda,Accord,,Uyo,"₦ 5,616,000"
Mercedes-Benz GL-Class 2016 Blue,foreign used,automatic,,,,Jabi,"₦ 31,400,000"
Ford Freestyle 2005 Green,local used,automatic,Ford,Freestyle,2005,Ilupeju,"₦ 3,300,000"
Kia Optima 2010 Burgandy,local used,automatic,Kia,Optima,2010,Ajah,"₦ 4,290,000"
Kia Sedona 2006 Green,local used,automatic,Kia,Sedona,2006,Abule Egba,"₦ 4,400,000"
Mazda CX-7 2008 Silver,local used,automatic,Mazda,CX-7,2008,Ilorin South,"₦ 4,500,000"
Toyota Camry 2014 Silver,local used,automatic,Toyota,Camry,2014,Ilorin South,"₦ 11,500,000"
Toyota Sequoia 2022 Gray,local used,automatic,Toyota,Sequoia,2022,Ilorin South,"₦ 16,800,000"
Honda Civic 2005 Silver,local used,automatic,Honda,Civic,2005,Yaba,"₦ 3,000,000"
Toyota HiAce 2010 White,local used,automatic,Toyota,HiAce,2010,Ajah,"₦ 7,900,000"
Toyota RAV4 2016 Black,foreign used,automatic,Toyota,RAV4,2016,Lokogoma,"₦ 28,000,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 Red,foreign used,automatic,Toyota,Camry,,Ikeja,"₦ 22,000,000"
Honda Civic 2008 Black,local used,automatic,Honda,Civic,2008,Ibadan,"₦ 3,850,000"
Kia Optima EX 4dr Sedan (2.4L 4cyl 6A) 2014 Black,foreign used,automatic,Kia,Optima,,Jahi,"₦ 14,500,000"
Lexus RX 300 2003 Gray,local used,automatic,Lexus,RX,,Lokogoma,"₦ 3,300,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyl 7A) 2017 Silver,local used,automatic,,,,Ojodu,"₦ 19,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2005 Black,local used,automatic,Toyota,Camry,,Ibadan,"₦ 4,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Silver,local used,automatic,Toyota,Camry,,Garki 2,"₦ 5,700,000"
Toyota Corolla 2004 Blue,local used,automatic,Toyota,Corolla,2004,Ifako-Ijaiye,"₦ 4,280,000"
Honda CR-V 2021 White,foreign used,automatic,Honda,CR-V,2021,Ikeja,"₦ 41,500,000"
Toyota Corolla S 2007 Red,local used,automatic,Toyota,Corolla,,Agege,"₦ 6,500,000"
Toyota Corolla 2009 Red,local used,automatic,Toyota,Corolla,2009,Jahi,"₦ 8,200,000"
Land Rover Range Rover Sport HSE 4x4 (4.4L 8cyl 6A) 2006 Red,local used,automatic,Land,Rover,,Uyo,"₦ 7,480,000"
Opel Meriva 2004 Silver,foreign used,manual,Opel,Meriva,2004,Akure,"₦ 4,400,000"
Chrysler Town&Country 2003 Black,local used,automatic,,,,Port-Harcourt,"₦ 3,300,000"
Mazda CX-7 2010 Blue,local used,automatic,Mazda,CX-7,2010,Surulere,"₦ 4,730,000"
Ford Escape 2005 Black,local used,automatic,Ford,Escape,2005,Abeokuta North,"₦ 4,950,000"
Toyota Corolla 1999 Red,local used,automatic,Toyota,Corolla,1999,Abeokuta North,"₦ 3,024,000"
Lexus RX 300 2WD 2003 Gold,local used,automatic,Lexus,RX,,Alimosho,"₦ 5,500,000"
Honda CR-V 2008 Blue,local used,automatic,Honda,CR-V,2008,Ajah,"₦ 4,870,000"
Toyota Sienna LE 2001 Red,local used,automatic,Toyota,Sienna,,Lugbe District,"₦ 4,320,000"
Toyota Camry 2012 Silver,local used,automatic,Toyota,Camry,2012,Jahi,"₦ 10,500,000"
Kia Cerato 2008 Black,local used,automatic,Kia,Cerato,2008,Ikeja,"₦ 4,950,000"
Honda Accord 2007 Gold,local used,automatic,Honda,Accord,2007,Lugbe District,"₦ 4,320,000"
Honda Accord 2009 Gold,local used,automatic,Honda,Accord,2009,Jahi,"₦ 5,800,000"
Lexus ES 350 2008 Silver,local used,automatic,Lexus,ES,,Ajah,"₦ 8,500,000"
Toyota Corolla 2009 Gold,local used,automatic,Toyota,Corolla,2009,Jahi,"₦ 8,500,000"
Toyota Land Cruiser Prado 2020 Black,local used,automatic,Toyota,Land,,Ilorin South,"₦ 19,500,000"
Toyota Camry 2007 Blue,local used,automatic,Toyota,Camry,2007,Ilorin South,"₦ 6,200,000"
Toyota Corolla 2014 Blue,local used,automatic,Toyota,Corolla,2014,Ilorin South,"₦ 10,700,000"
Lexus RX 350 2010 Black,foreign used,automatic,Lexus,RX,,Lekki,"₦ 17,800,000"
Lexus GX 460 2011 Silver,local used,automatic,Lexus,GX,,Ikeja,"₦ 33,500,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,foreign used,automatic,,,,Ikeja,"₦ 41,000,000"
Toyota Camry 2001 Red,local used,automatic,Toyota,Camry,2001,Surulere,"₦ 3,670,312"
Hyundai Santa Fe 2006 Green,foreign used,automatic,Hyundai,Santa,,Lugbe District,"₦ 8,800,000"
Kia Picanto 2008 Teal,local used,manual,Kia,Picanto,2008,Jabi,"₦ 3,850,000"
Ford Edge Sport 4dr AWD (3.5L 6cyl 6A) 2009 Red,local used,automatic,Ford,Edge,,Ojodu,"₦ 4,581,500"
Jeep Liberty Limited 4x4 2005 White,local used,automatic,Jeep,Liberty,,Ojodu,"₦ 4,950,000"
Honda Pilot 2004 Burgandy,local used,automatic,Honda,Pilot,2004,Ajah,"₦ 4,752,000"
Mercedes-Benz M Class 2001 Blue,local used,automatic,,,,Magodo,"₦ 3,740,000"
Kia Optima 2008 Black,local used,automatic,Kia,Optima,2008,Ibadan,"₦ 3,850,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 Gray,foreign used,automatic,Toyota,Camry,,Kubwa,"₦ 12,900,000"
Kia Mohave 2009 Gray,local used,automatic,Kia,Mohave,2009,Ilorin South,"₦ 4,700,000"
Toyota Matrix 2007 Blue,local used,automatic,Toyota,Matrix,2007,Ilorin South,"₦ 5,700,000"
Mercedes-Benz C180 2003 Silver,local used,automatic,,,,Ilorin South,"₦ 3,700,000"
Nissan Rogue S 2008 Silver,local used,automatic,Nissan,Rogue,,Ilorin South,"₦ 7,900,000"
Toyota Land Cruiser Prado 2022 Green,local used,automatic,Toyota,Land,,Ilorin South,"₦ 16,500,000"
Toyota Corolla 2012 Blue,local used,automatic,Toyota,Corolla,2012,Ilorin South,"₦ 5,800,000"
Toyota Corolla 2011 Black,local used,automatic,Toyota,Corolla,2011,Surulere,"₦ 7,800,000"
Toyota Venza AWD 2010 Silver,foreign used,automatic,Toyota,Venza,,Ikeja,"₦ 17,500,000"
Toyota Sienna Limited 7 Passenger 2011 Off white,foreign used,automatic,Toyota,Sienna,,Surulere,"₦ 18,300,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Black,local used,automatic,Toyota,Corolla,,Ikoyi,"₦ 6,700,000"
Toyota Camry SE Sport 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,foreign used,automatic,Toyota,Camry,,Ogba,"₦ 15,000,000"
BMW X3 2015 Silver,local used,automatic,BMW,X3,2015,Jabi,"₦ 13,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2014 Black,foreign used,automatic,Toyota,Camry,,Central Business District,"₦ 16,500,000"
Honda Pilot 2012 Silver,foreign used,automatic,Honda,Pilot,2012,Ikeja,"₦ 12,800,000"
Kia Carnival 2005 Silver,local used,automatic,Kia,Carnival,2005,Port-Harcourt,"₦ 4,400,000"
Honda Accord 2004 Silver,local used,automatic,Honda,Accord,2004,Ikeja,"₦ 3,132,000"
Honda Accord 2007 Gold,local used,automatic,Honda,Accord,2007,Ikorodu,"₦ 2,750,000"
Toyota Avensis Verso 2002 Gray,local used,automatic,Toyota,Avensis,,Karu,"₦ 4,180,000"
Honda Civic EX 4dr Sedan 1998 Blue,local used,automatic,Honda,Civic,,Kaduna / Kaduna State,"₦ 2,200,000"
Hyundai Elantra 2014 Black,local used,automatic,Hyundai,Elantra,2014,Ilorin South,"₦ 7,200,000"
Lexus ES 330 2005 Black,local used,automatic,Lexus,ES,,Ilorin South,"₦ 5,900,000"
Toyota Corolla 2014 Gray,foreign used,automatic,Toyota,Corolla,2014,Isolo,"₦ 14,700,000"
Toyota Sienna LE AWD 2005 Gold,local used,automatic,Toyota,Sienna,,Ikeja,"₦ 7,000,000"
Toyota Camry 2004 Gold,local used,automatic,Toyota,Camry,2004,Yaba,"₦ 4,100,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2024 White,foreign used,automatic,,,,Mabushi,"₦ 190,000,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Red,foreign used,automatic,Toyota,Camry,,Gwarinpa,"₦ 8,500,000"
Honda Odyssey 2003 Gold,local used,automatic,Honda,Odyssey,2003,Kosofe,"₦ 2,970,000"
Honda Odyssey 2005 Black,local used,automatic,Honda,Odyssey,2005,Ojodu,"₦ 3,300,000"
Kia Forte 2010 Silver,local used,automatic,Kia,Forte,2010,Gudu,"₦ 3,300,000"
Honda Accord 2003 Black,local used,automatic,Honda,Accord,2003,Garki 2,"₦ 2,530,000"
Lexus RC 350 AWD 2015 Orange,foreign used,automatic,Lexus,RC,,Lekki,"₦ 21,500,000"
Honda Crosstour 2010 Black,local used,automatic,Honda,Crosstour,2010,Ilorin South,"₦ 6,900,000"
Toyota Camry 2014 White,local used,automatic,Toyota,Camry,2014,Ilorin South,"₦ 14,700,000"
Lexus ES 2013 White,local used,automatic,Lexus,ES,2013,Ilorin South,"₦ 7,700,000"
Volkswagen Passat S 2013 Silver,local used,automatic,Volkswagen,Passat,,Ilorin South,"₦ 6,300,000"
Honda Civic 2006 Blue,local used,automatic,Honda,Civic,2006,Ilorin South,"₦ 3,900,000"
Toyota Matrix 2003 Silver,local used,automatic,Toyota,Matrix,2003,Shomolu,"₦ 3,700,000"
Toyota Corolla 1.8 2008 Gray,local used,automatic,Toyota,Corolla,,Ikeja,"₦ 7,100,000"
Mercedes-Benz GLE-Class 2016 White,foreign used,automatic,,,,Mabushi,"₦ 76,000,000"
Honda CR-V 2013,local used,automatic,Honda,CR-V,2013,Kaduna / Kaduna State,"₦ 8,500,000"
Honda Accord 2.4i VTec Executive 2008 Black,local used,automatic,Honda,Accord,,Gwarinpa,"₦ 6,000,000"
Honda CR-V 2002 Black,local used,automatic,Honda,CR-V,2002,Enugu,"₦ 4,104,000"
Honda CR-V 2003 Silver,local used,automatic,Honda,CR-V,2003,Abule Egba,"₦ 4,320,000"
Toyota Camry Automatic 1999 Green,local used,automatic,Toyota,Camry,,Ilorin South,"₦ 2,450,000"
Toyota Corolla S 2006 Silver,local used,automatic,Toyota,Corolla,,Ikeja,"₦ 6,850,000"
Volkswagen Bora 1.6 2003 Gray,local used,manual,Volkswagen,Bora,,Gwagwalada,"₦ 1,450,000"
Honda Accord Sport (1.5L 4cyl Turbo CVT) 2019 White,foreign used,automatic,Honda,Accord,,Ipaja,"₦ 25,500,000"
Nissan Armada SE 2010 Gray,foreign used,automatic,Nissan,Armada,,Ogba,"₦ 11,000,000"
Toyota Corolla S 2005 Blue,local used,automatic,Toyota,Corolla,,Karu,"₦ 4,620,000"
Honda Pilot 2009 Blue,foreign used,automatic,Honda,Pilot,2009,Oshimili South,"₦ 8,859,375"
Hyundai Sonata 2011 Gray,foreign used,automatic,Hyundai,Sonata,2011,Magodo,"₦ 9,700,000"
Volkswagen Passat 2009 Black,local used,automatic,Volkswagen,Passat,2009,Jabi,"₦ 5,062,500"
Honda Civic Hybrid 2007 Gray,local used,automatic,Honda,Civic,,Karu,"₦ 3,630,000"
Honda Pilot EX 4dr SUV (3.5L 6cyl 5A) 2010 Black,local used,automatic,Honda,Pilot,,Port-Harcourt,"₦ 9,180,000"
Peugeot 207 1.6 XS 2009 Black,foreign used,manual,Peugeot,207,,Kaduna / Kaduna State,"₦ 6,050,000"
Chevrolet Nubira 2008 Silver,local used,automatic,Chevrolet,Nubira,2008,Ikotun/Igando,"₦ 2,200,000"
Honda Pilot 2004 Black,local used,automatic,Honda,Pilot,2004,Abule Egba,"₦ 3,850,000"
Brilliance Splendor 2008 Black,local used,manual,Brilliance,Splendor,2008,Surulere,"₦ 2,035,000"
Honda Pilot EX 4x4 (3.5L 6cyl 5A) 2004 Gold,local used,automatic,Honda,Pilot,,Ojodu,"₦ 3,740,000"
Peugeot 206 2006 Blue,local used,manual,Peugeot,206,2006,Ifako-Ijaiye,"₦ 2,150,000"
Toyota Highlander L 2022 Black,local used,automatic,Toyota,Highlander,,Ilorin South,"₦ 22,000,000"
Hyundai Sonata 2017 Blue,foreign used,automatic,Hyundai,Sonata,2017,Ilorin South,"₦ 13,400,000"
Toyota Camry 2007 Black,local used,automatic,Toyota,Camry,2007,Osogbo,"₦ 5,000,000"
Toyota Corolla 2007 Black,local used,automatic,Toyota,Corolla,2007,Ilorin South,"₦ 5,200,000"
Lexus IS 2008 Red,local used,automatic,Lexus,IS,2008,Warri,"₦ 7,500,000"
Ford Explorer XLT FWD 2018 Red,foreign used,automatic,Ford,Explorer,,Ikeja,"₦ 23,500,000"
Toyota Venza 2012 White,foreign used,automatic,Toyota,Venza,2012,Ogba,"₦ 19,350,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2018 White,foreign used,automatic,,,,Ikeja,"₦ 115,000,000"
Toyota Sienna CE 2005 Gold,local used,automatic,Toyota,Sienna,,Ikeja,"₦ 6,500,000"
Honda CR-V Touring AWD 2018 Black,foreign used,automatic,Honda,CR-V,,Ogba,"₦ 36,000,000"
Lexus RX 350 2014 Blue,foreign used,automatic,Lexus,RX,,Ajah,"₦ 26,500,000"
Honda Civic 1.4i LS 2008 Blue,local used,automatic,Honda,Civic,,Ikotun/Igando,"₦ 3,850,000"
Toyota RAV4 Limited AWD (2.5L 4cyl 6A) 2016 Blue,local used,automatic,Toyota,RAV4,,Lekki,"₦ 16,500,000"
Toyota Camry 2010 Gold,local used,automatic,Toyota,Camry,2010,Oshimili South,"₦ 7,900,000"
Volkswagen Golf 1998 Green,foreign used,manual,Volkswagen,Golf,1998,Akure,"₦ 6,011,718"
Honda CR-V 2008 Silver,local used,automatic,Honda,CR-V,2008,Surulere,"₦ 5,720,000"
Honda Accord 2008 Black,local used,automatic,Honda,Accord,2008,Lekki,"₦ 4,664,000"
Toyota Highlander 2001 Blue,local used,automatic,Toyota,Highlander,2001,Ogudu,"₦ 6,050,000"
Toyota Camry 2001 Green,local used,automatic,Toyota,Camry,2001,Alimosho,"₦ 3,456,000"
Audi A3 2008 Gray,local used,automatic,Audi,A3,2008,Kosofe,"₦ 3,850,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Black,foreign used,automatic,,,,Amuwo-Odofin,"₦ 27,000,000"
Toyota RAV4 2001 Black,local used,automatic,Toyota,RAV4,2001,Jabi,"₦ 3,300,000"
Honda Accord 2.4 EX 2008 White,local used,automatic,Honda,Accord,,Kaduna / Kaduna State,"₦ 5,280,000"
Toyota Sienna 7 Passenger 2012 Blue,local used,automatic,Toyota,Sienna,,Ilorin South,"₦ 10,900,000"
Toyota Avalon Limited 2006 Black,local used,automatic,Toyota,Avalon,,Ilorin South,"₦ 4,200,000"
Mercedes-Benz 200 2008 Black,local used,automatic,,,,Ilorin South,"₦ 12,000,000"
Mercedes-Benz C300 2010 Gray,local used,automatic,,,,Warri,"₦ 7,500,000"
Toyota Highlander Sport 2009 Gold,local used,automatic,Toyota,Highlander,,Ogba,"₦ 10,500,000"
Ford F-150 Automatic 2003 Silver,local used,automatic,Ford,F-150,,Abule Egba,"₦ 3,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2012 Black,local used,automatic,Toyota,Camry,,Lekki,"₦ 11,000,000"
Toyota Highlander 2009 Gray,local used,automatic,Toyota,Highlander,2009,Surulere,"₦ 11,000,000"
Lexus ES 300 2004 Brown,local used,automatic,Lexus,ES,,Ibadan,"₦ 3,800,000"
Lexus RX 350 2013 Gold,foreign used,automatic,Lexus,RX,,Abeokuta South,"₦ 28,000,000"
Toyota Corolla 1.8 Exclusive Automatic 2009 Gold,local used,automatic,Toyota,Corolla,,Uyo,"₦ 8,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Gray,local used,automatic,Toyota,Camry,,Ipaja,"₦ 7,800,000"
Honda Civic 2008 Silver,local used,automatic,Honda,Civic,2008,Yaba,"₦ 4,800,000"
Peugeot 307 2008 Silver,local used,manual,Peugeot,307,2008,Ikeja,"₦ 3,400,000"
Toyota Corolla 2012 Silver,local used,manual,Toyota,Corolla,2012,Calabar,"₦ 4,599,960"
